Feature,Importance
stars,0.14505004433968563
body_length,0.13352377765806614
title_length,0.09446268376114339
additions,0.09231018042375261
complexity_score,0.08220277311064772
language_encoded,0.07930212399597801
change_dispersion,0.07392587574034576
type_encoded,0.06830766154454002
loc_changed,0.06655143512028192
deletions,0.05770402504263854
files_touched,0.05562632521620916
linked_issues,0.02321565423639471
is_bug_fix,0.012862407842326735
has_tests,0.009512731203261614
has_description,0.00544230076472812
